id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon
16301.0,Appareil fixe-Vast apparaat,Mayerlei ,154.0,2640.0,Mortsel,Antwerpen,aan de zuidgevel van het gebouw = aan de rechter zijgevel,Oui-Ja,Oui-Ja,,51.1661697,4.472207681785717
16302.0,Appareil fixe-Vast apparaat,Lambermontlaan ,,1030.0,SCHAARBEEK,Bruxelles-Brussel,/,Oui-Ja,,,50.8676048,4.3864981
16303.0,Appareil fixe-Vast apparaat,Lambermontlaan,,1030.0,SCHAARBEEK,Bruxelles-Brussel,/,Oui-Ja,,,50.8676048,4.3864981
16304.0,Appareil fixe-Vast apparaat,Lambermontlaan,,1030.0,SCHAARBEEK,Bruxelles-Brussel,/,Oui-Ja,,,50.8676048,4.3864981
16305.0,Appareil fixe-Vast apparaat,Okegembaan,212.0,9400.0,NINOVE,Oost-Vlaanderen,Buitenkast inkom ,Oui-Ja,,,50.851174900000004,4.040968298543276
16306.0,Appareil fixe-Vast apparaat,Lochtemanweg,56.0,3580.0,BERINGEN,Limburg,INKOM,Oui-Ja,,,51.03223319999999,5.229846238348384
16307.0,Appareil fixe-Vast apparaat,Route de Thionville,201.0,5885.0,LUXEMBURG,Luxembourg,/,Oui-Ja,,,,
16308.0,Appareil fixe-Vast apparaat,Mastendreef,10.0,2900.0,SCHOTEN,Antwerpen,Buitenkast linksom bar,Oui-Ja,,,51.259747649999994,4.5168884461472425
16309.0,Appareil fixe-Vast apparaat,Meendijkstraat,42.0,3300.0,TIENEN,Vlaams-Brabant,Mobiel (vooraf bellen 016/418080),Non-Nee,,,50.8036151,4.9360593
16310.0,Appareil fixe-Vast apparaat,Klein Berchemstraat,1.0,1081.0,KOEKELBERG,Bruxelles-Brussel,In de eetzaal,Oui-Ja,,,50.8657302,4.3086963
16311.0,Appareil fixe-Vast apparaat,Frans Vervaeckstraat,47.0,1083.0,GANSHOREN,Bruxelles-Brussel,Inkom secretariaat ,Oui-Ja,,,50.872838849999994,4.31811467332786
16312.0,Appareil fixe-Vast apparaat,Raveschoot,22.0,9080.0,BEERVELDE,Oost-Vlaanderen,aan het onthaal.,Oui-Ja,,,51.0695341,3.8863412
16313.0,Appareil fixe-Vast apparaat,Picardstraat,170.0,1080.0,SINT-JANS-MOLENBEEK,Bruxelles-Brussel,Ingang secretariaat,Oui-Ja,,,50.8644331,4.3422208
16314.0,Appareil fixe-Vast apparaat,Picardstraat,172.0,1080.0,SINT-JANS-MOLENBEEK,Bruxelles-Brussel,/,Oui-Ja,,,50.8646773,4.3415949
16315.0,Appareil fixe-Vast apparaat,Picardstraat,172.0,1080.0,SINT-JANS-MOLENBEEK,Bruxelles-Brussel,"Verdiep 4, toegang naar sporthal",Oui-Ja,,,50.8646773,4.3415949
16316.0,Appareil fixe-Vast apparaat,Dwarslaan,7.0,2050.0,ANTWERPEN,Antwerpen,Inkom onder trap,Oui-Ja,,,51.22182705,4.3479362598473905
14200.0,Appareil fixe-Vast apparaat,Wandeldijk,40.0,2000.0,ANTWERPEN,Antwerpen,Aan zwembad ehbo lokaal ,Oui-Ja,,,51.234569300000004,4.393679560997208
16317.0,Appareil fixe-Vast apparaat,sint-jansweg,7.0,9130.0,DOEL,Oost-Vlaanderen,buitenkast inkom naast garage,Oui-Ja,,,51.26865915,4.262243927669708
