id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon,full_address
12476.0,Appareil fixe-Vast apparaat,Ginderoverstraat ,143.0,3590.0,Diepenbeek,Limburg,gang centrale diensten,Non-Nee,Non-Nee,werkdagen van 08u00 - 17u30,50.9359324,5.413929751518959,"Ginderoverstraat  143 ,3590 ,Diepenbeek"
12477.0,Appareil fixe-Vast apparaat,Kiewitstraat ,221.0,3500.0,Hasselt,Limburg,Hal 1 oude inkom,Non-Nee,Non-Nee,werkdagen van 08u00 tot 17u30 ,50.95527585,5.368040313128491,"Kiewitstraat  221 ,3500 ,Hasselt"
12478.0,Appareil fixe-Vast apparaat,Kiewitstraat ,221.0,3500.0,Hasselt,Limburg,hal 5: gang nieuwe burelen,Non-Nee,Non-Nee,werkdagen van 08u00 tot 17u30 ,50.95527585,5.368040313128491,"Kiewitstraat  221 ,3500 ,Hasselt"
12479.0,Appareil fixe-Vast apparaat,Kiewitstraat ,221.0,3500.0,Hasselt,Limburg,Hal 7 Inkom hal,Non-Nee,Non-Nee,werkdagen 08u00 tot 17u30,50.95527585,5.368040313128491,"Kiewitstraat  221 ,3500 ,Hasselt"
12480.0,Appareil fixe-Vast apparaat,Industrieweg Noord,1162.0,3660.0,Oudsbergen,Limburg,nieuwbouw,Non-Nee,Non-Nee,weekdagen 08u00 tot 17u00,51.0390024,5.5505184429114465,"Industrieweg Noord 1162 ,3660 ,Oudsbergen"
12481.0,Appareil fixe-Vast apparaat,Industrieweg Noord ,1162.0,3660.0,Oudsbergen,Limburg,nieuwbouw,Non-Nee,Non-Nee,weekdagen 08u00 tot 17u00,51.0390024,5.5505184429114465,"Industrieweg Noord  1162 ,3660 ,Oudsbergen"
12482.0,Appareil fixe-Vast apparaat,Ravenshout ,6023.0,3980.0,Tessenderlo,Limburg,Hal 2,Non-Nee,Non-Nee,Weekdagen 08u00 tot 17u00 ,51.0712645,5.1433466,"Ravenshout  6023 ,3980 ,Tessenderlo"
12483.0,Appareil fixe-Vast apparaat,Jagersborg,1313.0,3680.0,Maaseik,Limburg,nieuwe hal,Non-Nee,Non-Nee,weekdagen 08u00 tot 17u00 ,51.1026407,5.7436936,"Jagersborg 1313 ,3680 ,Maaseik"
12484.0,Appareil fixe-Vast apparaat,Grote Baan ,216.0,3530.0,Houthalen,Limburg,enclave JBC,Non-Nee,Non-Nee,weekdagen van 08u00 tot 17u00 ,51.3547334,4.985801758867157,"Grote Baan  216 ,3530 ,Houthalen"
12485.0,Appareil fixe-Vast apparaat,Antwerpsesteenweg,45.0,2520.0,Ranst (Broechem),Antwerpen,Buitendeur hoofd inkom sporthal,Oui-Ja,Oui-Ja,,51.1851508,4.589025429233684,"Antwerpsesteenweg 45 ,2520 ,Ranst (Broechem)"
12486.0,Appareil fixe-Vast apparaat,Ranstsesteenweg,131.0,2520.0,Ranst,Antwerpen,Buitendeur hoofd inkom voetbalkantine,Oui-Ja,Oui-Ja,,51.180991750000004,4.56087555335251,"Ranstsesteenweg 131 ,2520 ,Ranst"
12507.0,Appareil fixe-Vast apparaat,rue du centre ,8.0,5170.0,Lesve,Namur,Dans la pharmacie ouverte au public,Oui-Ja,horaire d ouverture de la pharmacie,lundi au vendredi : 8h30-19h00. Samedi : 8h30-12h30.,50.3777747,4.7757932,"rue du centre  8 ,5170 ,Lesve"
12508.0,Appareil fixe-Vast apparaat,Rue des Joncquois,118.0,7000.0,Mons ,Hainaut,reception ,Non-Nee,Non-Nee,,,,"Rue des Joncquois 118 ,7000 ,Mons "
12509.0,Appareil fixe-Vast apparaat,De Keyserhoeve ,66.0,2040.0,Zandvliet,Antwerpen,"Aan de voorgevel, naast de brievenbus",Oui-Ja,Oui-Ja,7 dagen op 7,51.35897295,4.311480074754071,"De Keyserhoeve  66 ,2040 ,Zandvliet"
12510.0,Appareil fixe-Vast apparaat,Venecolaan ,50.0,9880.0,Aalter,Oost-Vlaanderen,"Aan de inrit van het bedrijvenpark, uiterst rechts aan het 2e lokaal (technisch lokaal)",Oui-Ja,Oui-Ja,24/24,51.1056538,3.452426144919437,"Venecolaan  50 ,9880 ,Aalter"
12511.0,Appareil fixe-Vast apparaat,Jubileumlaan,109.0,9000.0,Gent,Oost-Vlaanderen,onthaal,Oui-Ja,Non-Nee,,51.04693277693011,3.708250419117103,"Jubileumlaan 109 ,9000 ,Gent"
12512.0,Appareil fixe-Vast apparaat,Dorp ,7.0,3221.0,Nieuwrode,Vlaams-Brabant,Buitengevel,Oui-Ja,Oui-Ja,,50.9506073,4.834528568688123,"Dorp  7 ,3221 ,Nieuwrode"
12513.0,Appareil fixe-Vast apparaat,chaussée de Waterloo ,1504.0,1180.0,Bruxelles,Bruxelles-Brussel,Accueil,Oui-Ja,Non-Nee,,50.7831415,4.380217737463694,"chaussée de Waterloo  1504 ,1180 ,Bruxelles"
12514.0,Appareil fixe-Vast apparaat,Chaussée de Waterloo,1508.0,1180.0,Bruxelles,Bruxelles-Brussel,Accueil,Oui-Ja,Non-Nee,,50.7822971,4.3803897,"Chaussée de Waterloo 1508 ,1180 ,Bruxelles"
12515.0,Appareil fixe-Vast apparaat,Orsmaelstraat ,30.0,3450.0,Geetbets,Vlaams-Brabant,Centraal langs de toog,Oui-Ja,Oui-Ja,,50.867810199999994,5.131201517834642,"Orsmaelstraat  30 ,3450 ,Geetbets"
12516.0,Appareil fixe-Vast apparaat,RUE DES GRANDS MALADES,13.0,5000.0,BEEZ,Namur,ATELIER,Oui-Ja,Non-Nee,6H-15H30,50.471891299999996,4.923699049872694,"RUE DES GRANDS MALADES 13 ,5000 ,BEEZ"
12517.0,Appareil fixe-Vast apparaat,Technologiepark,73.0,9052.0,Zwijnaarde,Oost-Vlaanderen,Gelijkvloers: achterkant van de centrale trappenhal,Oui-Ja,Non-Nee,Maandag t.e.m. donderdag: 08u00 tot 17u30. Vrijdag: 08u00 tot 15u30,51.0109506,3.7111962,"Technologiepark 73 ,9052 ,Zwijnaarde"
12518.0,Appareil fixe-Vast apparaat,Rue du Temple,15.0,6180.0,Courcelles,Hainaut,Face à l accueil,Oui-Ja,Non-Nee,08h - 16h,50.4569651,4.3773117,"Rue du Temple 15 ,6180 ,Courcelles"
12520.0,Appareil fixe-Vast apparaat,Place de la Wallonie,1.0,6140.0,Fontaine-l Evêque,Hainaut,Dans le couloir près du bureau Livescan,Oui-Ja,Oui-Ja,,50.4101299,4.3252576,"Place de la Wallonie 1 ,6140 ,Fontaine-l Evêque"
12522.0,Appareil fixe-Vast apparaat,Place de bourgogne ,1.0,7730.0,Estaimbourg,Hainaut,Grande salle,Oui-Ja,Non-Nee,,50.683826,3.3177072,"Place de bourgogne  1 ,7730 ,Estaimbourg"
